,imonth,success,attacktype1,latitude,longitude,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt
10199,3,1,3,24.249827,94.300752,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10200,3,1,3,24.250496,94.300364,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10201,3,1,3,21.323248,85.86556,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10202,3,0,3,20.419813,80.889462,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10203,3,1,3,18.844024,81.383619,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10204,3,1,3,18.532877,80.945955,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10205,3,1,2,33.902347,75.03957700000002,Armed Assault,14,Private Citizens & Property,5,Firearms
10206,3,1,3,24.681794,93.945198,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10208,3,1,3,24.335382,93.683378,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10209,3,0,3,24.335382,93.683378,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10210,3,0,3,23.929379,84.640659,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10211,3,1,3,24.704644,93.854069,Bombing/Explosion,12,NGO,6,Explosives/Bombs/Dynamite
10212,3,0,3,24.336193,93.683316,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10213,4,0,1,24.823602,93.911363,Assassination,1,Business,6,Explosives/Bombs/Dynamite
10214,4,0,3,26.083409,91.816555,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10215,4,1,6,23.797436,86.431814,Hostage Taking (Kidnapping),14,Private Citizens & Property,8,Incendiary
10216,4,0,3,24.650299,84.552312,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10217,4,0,3,23.3441,85.309562,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10218,4,1,3,23.904998000000006,86.193927,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10219,4,0,1,19.008508,81.059588,Assassination,22,Violent Political Party,5,Firearms
